產品編號,產品名稱,版本別,標準工時,規格,單據備註,
GA28C3031,配料-義峰-巧克力奶粉,1020506一/1010817五/1001221一,0,公斤,20231121調降奶精用量，1020506一,
GA29B3011,配料-三商行-黑糖奶茶,20250212三/1030118六/1010618一,0,公斤,20231108調降奶精用量，20250212三，三商行/丞俐,
GA39A3011,配料-大中和-黃金曼特寧咖啡,20210621一20210518二1020312二,0,公斤,20231017調降奶精用量，20210621一/大中和/興福/好友/建億/友鴻/銓綿/艾盟/德瑪,
GA39A3021,配料-大中和-榛果咖啡,1020228四/1010303六,0,公斤,20231123調降奶精用量，1020228四/丞俐/艾盟/德瑪,
GA50A3831,配料-丞俐-榛果拿鐵粉-素,20240521二,0,公斤,20240521二,
GA50A3841,配料-丞俐-摩卡咖啡粉-素,20240926四,0,公斤,20240926四,
GA50B3811,配料-丞俐-黑糖奶茶粉-素,20240903二,0,公斤,20240903二,
GA65T3041,配料-鶴岡-檸檬紅茶,20221109三,0,公斤,20221109三,
GA91B2011,配料-台沛-特級奶茶粉,1030118六/1020603一,0,公斤,1030118六,
GA91B3011,配料-台沛-泰式奶茶粉,1050811四/1040304三,0,公斤,1050811四/益合/弘毓,
GA91B3021,配料-台沛-三合一奶茶,20230612一20211124三20210528五,0,公斤,20240118調降奶精用量，20230612一,
GA91C2021,配料-台沛-玫荔奶蓋粉,20230613二,0,公斤,20230613二,
GA91C2041,配料-台沛-提拉米蘇奶蓋粉,20230613二,0,公斤,20230613二,
GA91C3011,配料-台沛-椰子粉,20190905四20180522二/1070301四,0,公斤,20190905四,
GA91C3031,配料-台沛-香草粉,20210630三20200928一1020521二,0,公斤,20240119調降奶精用量，20210630三,
GA91D1021,配料-台沛-植物性奶精粉,20240717三20220805五,0,公斤,20240717三,
GA91D1031,配料-台沛-奶精粉(TM918),20230425二,0,公斤,不加損耗，20230425二,
GA91D2051,配料-台沛-黃哈密瓜粉,1030709三/1020603一,0,公斤,1030709三,
GA91D2081,配料-台沛-芋頭粉,20190416二,0,公斤,20190416二,
GA91D2082,配料-台沛-芋頭粉,20240820二,0,公斤,20240820二,
GD01C3011,配料-米可可-杏仁茶,20210518二1010416一/1000924六,0,公斤,20231027調降奶精用量，20210518二,
GD01T3021,配料-米可可-檸檬紅茶,1050203三/1020429一/1020329五,0,公斤,1050203三,
GD21C3011,配料-新台豐-抹茶歐蕾,20190412五/1051006四/1050910六,0,公斤,20190412五,
GD21C3011-1,配料-新台豐-抹茶歐蕾+NSP,20190412五/20180611一,0,公斤,20190412五,
GD21C3021,配料-新台豐-原味海鹽奶蓋粉,20230612一20220215二20180913四,0,公斤,20230612一/台沛,
GD21C3021-1,配料-新台豐-原味海鹽奶蓋粉NV,20230809三20180913四20180613三,0,公斤,20231124調降奶精用量，20230809三,
GD21C3031,配料-新台豐-特濃可可粉,1061219二/1061031二/1061027五,0,公斤,20231124調降奶精用量，1061219二,
GD27R6011,配料-食味鮮-椰漿粉,20220112三20210902四20210817二,0,公斤,12月-3月配方不同，每包損耗+葡萄糖0.2g+乳糖0.2g，20220112三，餘料回都梁椰漿粉原料庫存,
GD44C3011,配料-墨力-杏仁粉,20191008二,0,公斤,20231114調降奶精用量，20191008二,
GD45A3011,配料-采唐-卡布奇諾咖啡粉,20190715一,0,公斤,20240103調降奶精用量，20190715一,
GD45D2021,配料-采唐-綠哈蜜瓜粉,20190715一,0,公斤,20231114調降奶精用量，20190715一/聯發,
GD45D2041,配料-采唐-芋頭粉,20210719一20190805一,0,公斤,20231117調降奶精用量，20210719一,
GD45D2051,配料-采唐-厚奶精,20230216四20210420二20210416五,0,公斤,不加損耗，20230216四，八爪機包裝時不加損耗,
GD46L3011,配料-星宇-馬鈴薯濃湯,20240613四20231207四20220912一,0,公斤,20231212調降奶精用量，20240613四，每包+1g葡萄糖20230705三,
GD52B3011,配料-台深-阿薩姆奶茶,20221003一,0,公斤,20231201調降奶精用量，20221003一,
GD52B3021,配料-台深-伯爵奶茶,20221003一,0,公斤,20231201調降奶精用量，20221003一,
GD52B3051,配料-台深-黑糖奶茶粉,20221130三20221122二,0,公斤,20231201調降奶精用量，20221130三,
GD52B306291,配料-台深-泰式奶茶調味粉,20240726五,0,公斤,20240726五,
GD52B307291,配料-台深-抹茶歐蕾調味粉,20240726五,0,公斤,20240726五,
GD52B307292,配料-台深-抹茶歐蕾調味粉(美國),20250204二,0,公斤,20250204二,
GD52C302291,配料-台深-椰子調味粉,20240726五,0,公斤,20240726五,
GD52D2041,配料-台深-香檳調味粉,20220902五,0,公斤,20231226調降奶精用量，20220902五,
GD52D2051,配料-台深-百香果粉B,20230714五20221102三,0,公斤,奶精20221102三，20230714五,
GD52D2071,配料-台深-美極斑蘭調味粉,20230105四,0,公斤,20231108調降奶精用量，20230105四,
GD52D209112,配料-台深-西瓜調味粉,20231106一,0,公斤,20231106一，不需調降奶精用量,
GD52D210292,配料-台深-特上芋頭調味粉(美國),20250208六、20250204二,0,公斤,20250208六,
GD59Z2011,配料-安中-Deluxe黑巧克力霜淇淋粉,20200610三,0,公斤,20231103調降奶精用量，20200610三,
GD59Z2021,配料-安中-Deluxe牛奶風味霜淇淋粉,20201211五20200918五,0,公斤,奶精20201211五,
GD72B3011,配料-老虎堂-紅茶拿鐵,20221013四,0,公斤,奶精20221013四,
GD72D1011,配料-老虎堂-奶精粉,20221205一,0,公斤,20221205一,
GD72M3011,配料-老虎堂-梅子撒粉,20220120四20211223四,0,公斤,20220120四,
GD75B6011,配料-歐比特-紅茶拿鐵,20231012四20230419三20220516一,0,公斤,20231012調降奶精用量，350+4，紅茶粉和二矽先混勻後再細篩,
GD75B6042,配料-歐比特-抹茶拿鐵JB,20220126三20220119三,0,公斤,20231019調降奶精用量，350+4,
GD75B6052,配料-歐比特-芋頭拿鐵JB,20220314一20220307一20220126三,0,公斤,20231019調降奶精用量，350+4,
GD75B6061,配料-歐比特-黑糖奶茶,20220901四,0,公斤,20231013調降奶精用量，20220901四(250+6),
GD75B6071,配料-歐比特-紅茶奶茶,20220901四,0,公斤,20231013調降奶精用量，20220915四(250+6),
GD75B6081,配料-歐比特-抹茶奶茶,20221226一,0,公斤,20231013調降奶精用量，20221226一(250+6),
GD83D1011,配料-黃紅藍-SETTEA奶精,20221125五,0,公斤,不調整奶精廠牌20221125五,
GD83D3011,配料-皇品-咖啡專用奶泡粉,20230322三,0,公斤,不加損耗，不調整奶精廠牌，20230322三,
GD83Z2011,配料-皇品-香草霜淇淋粉,20231218一,0,公斤,不調整奶精廠牌，20231218一,
GD83Z2021,配料-皇品-巧克力霜淇淋粉,20240314四,0,公斤,不調整奶精廠牌，20240314四,
GD83Z2031,配料-皇品-焙茶奶茶霜淇淋粉,20240904三,0,公斤,不調整奶精廠牌，20240904三,
GD83Z2041,配料-皇品-玫瑰荔枝霜淇淋粉,20241015一,0,公斤,20241015一,
GD85D10062,配料-鮮Q奶精+,20230615四,0,公斤,不需調整奶精廠牌及用量，不加損耗，20230615四/台深,
GD87B3011,配料-珍煮丹-珍煮丹泰式奶茶粉,20240309六20230810四20230412三,0,公斤,不調整奶精廠牌及用量，20240309六，茶粉與二矽手混過篩,
GD87B301128,配料-珍煮丹-泰式奶茶粉(素),20240309六20230711二,0,公斤,20240309六,
GD91C3011,配料-柏元-太妃糖風味粉,20240516四20240318一20240223五,0,公斤,不需調整奶精廠牌及用量20240516四,
GD91C3021,配料-柏元-開心果風味粉,2020241212四241030三20241017四,0,公斤,20241212四,
